club,Conteo simple,Solo ligas,Moderado,Riquelme (Lib = 10 ligas),Solo puntos históricos,Moderado + regularidad
Boca Juniors,2,2,1,1,2,1
River Plate,1,1,2,3,1,2
Independiente,3,3,3,2,3,3
Vélez Sarsfield,5,5,5,6,5,6
Estudiantes (LP),6,7,4,4,7,4
San Lorenzo,7,4,7,7,4,5
Racing Club,4,6,6,5,6,7
Rosario Central,9,9,9,10,9,9
Newell's Old Boys,10,7,11,11,8,8
Lanús,8,11,8,9,13,11
Argentinos Juniors,12,10,10,8,12,10
Huracán,11,13,13,15,11,12
Ferro Carril Oeste,14,11,14,16,14,14
Platense,17,13,17,17,15,15
Banfield,17,13,17,17,16,16
Chacarita Juniors,17,13,17,17,17,17
Arsenal,12,13,12,12,25,24
Gimnasia y Esgrima (LP),17,20,22,22,10,13
Talleres (C),14,20,16,14,21,19
Quilmes,17,13,17,17,23,22
Colón,17,20,22,22,18,18
Atlanta,17,20,22,22,20,20
Defensa y Justicia,14,20,15,13,34,28
Tigre,17,20,22,22,22,23
Unión (SF),31,20,31,31,19,21
San Martín (T),17,20,22,22,36,36
Belgrano (C),31,20,31,31,24,25
Instituto,31,20,31,31,26,26
Godoy Cruz,31,20,31,31,27,27
Central Córdoba (SdE),17,20,22,22,46,42
Deportivo Español,31,20,31,31,28,29
Patronato,17,20,22,22,47,43
Gimnasia y Esgrima (J),31,20,31,31,29,30
Atlético Tucumán,31,20,31,31,30,31
All Boys,31,20,31,31,31,32
Racing (C),31,20,31,31,32,33
Olimpo,31,20,31,31,33,34
Temperley,31,20,31,31,35,35
Sarmiento (J),31,20,31,31,37,37
Deportivo Mandiyú,31,20,31,31,38,38
Nueva Chicago,31,20,31,31,39,39
Atlético de Rafaela,31,20,31,31,40,40
Aldosivi,31,20,31,31,41,41
San Martín (SJ),31,20,31,31,42,44
Lomas Athletic,31,20,31,31,43,45
Los Andes,31,20,31,31,44,46
Talleres (RdE),31,20,31,31,45,47
Central Córdoba (R),17,20,22,22,68,57
Sportivo Palermo,31,20,31,31,48,48
Gimnasia y Esgrima (BA),31,20,31,31,49,49
San Martín (M),31,20,31,31,50,50
Independiente Rivadavia,31,20,31,31,51,51
Gimnasia y Esgrima (M),31,20,31,31,52,52
Chaco For Ever,31,20,31,31,53,54
Barracas Central,31,20,31,31,54,55
Almagro,31,20,31,31,55,56
San Lorenzo (MdP),31,20,31,31,56,58
Central Norte (S),31,20,31,31,57,59
Alvear (La Plata),31,20,31,31,58,60
Gimnasia y Tiro,31,20,31,31,59,61
Gimnasia y Tiro (S),31,20,31,31,59,61
Riestra,31,20,31,31,61,63
Flores Athletic,31,20,31,31,62,64
Deportivo Armenio,31,20,31,31,62,64
Kimberley (BA),31,20,31,31,64,66
Cipolletti,31,20,31,31,65,67
Desamparados,31,20,31,31,66,68
Belgrano,17,13,17,17,131,53
Sportivo Alsina,31,20,31,31,67,69
Altos Hornos Zapla,31,20,31,31,69,70
Deportivo Morón,31,20,31,31,70,71
