club,1,2,3,4,5,6,7,8,9,10,11,12,pos_media,pos_mejor,pos_peor
Boca Juniors,0.61645,0.38355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.38355,1,2
River Plate,0.38355,0.5765,0.03995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6564,1,3
Independiente,0.0,0.03995,0.96005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.96005,2,3
Estudiantes (LP),0.0,0.0,0.0,0.5433,0.10095,0.10675,0.249,0.0,0.0,0.0,0.0,0.0,5.06145,4,7
San Lorenzo,0.0,0.0,0.0,0.30985,0.31775,0.11115,0.26125,0.0,0.0,0.0,0.0,0.0,5.3238,4,7
Vélez Sarsfield,0.0,0.0,0.0,0.11585,0.413,0.37795,0.0932,0.0,0.0,0.0,0.0,0.0,5.4485,4,7
Racing Club,0.0,0.0,0.0,0.031,0.1683,0.40415,0.39655,0.0,0.0,0.0,0.0,0.0,6.16625,4,7
Newell's Old Boys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7786,0.15695,0.0491,0.01535,0.0,8.3012,8,11
Rosario Central,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11375,0.7912,0.09505,0.0,0.0,8.9813,8,10
Argentinos Juniors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.089,0.0311,0.3255,0.24535,0.24885,10.71455,8,13
Huracán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3399,0.28735,0.37275,11.03285,10,12
Lanús,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01865,0.02075,0.19045,0.2755,0.1938,11.5076,8,13
Gimnasia y Esgrima (LP),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17645,0.1846,12.46915,11,14
Ferro Carril Oeste,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9934,13,15
Platense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0109,15,17
Banfield,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.03115,16,18
Chacarita Juniors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0393,17,19
Colón,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1974,18,21
Atlanta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9984,19,22
Talleres (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.03545,15,22
Unión (SF),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2657,19,24
Quilmes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.70615,22,25
Arsenal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.88205,14,25
Tigre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0634,22,25
Belgrano (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9102,24,26
Instituto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.3285,26,28
Godoy Cruz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3735,27,29
Deportivo Español,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.51145,28,32
Defensa y Justicia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.57985,20,34
Gimnasia y Esgrima (J),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.55595,29,33
Atlético Tucumán,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.83645,30,34
All Boys,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.09085,31,36
Racing (C),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1003,32,37
Olimpo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.32745,33,40
San Martín (T),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.00375,26,37
Temperley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.5463,35,41
Sarmiento (J),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.7269,37,42
Deportivo Mandiyú,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.77355,38,43
Nueva Chicago,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8192,39,44
Atlético de Rafaela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.07995,40,45
Central Córdoba (SdE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.77845,30,46
Aldosivi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.13445,41,46
Patronato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.91025,31,47
San Martín (SJ),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.50505,42,47
Lomas Athletic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5273,43,48
Los Andes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.61625,44,49
Talleres (RdE),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.33375,45,50
Sportivo Palermo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.65015,48,51
Gimnasia y Esgrima (BA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.66705,49,52
