club,PJ,G,E,P,pts_3,pts_2,pts_por_partido
River Plate,3429,1802,876,751,6282,4480,1.832
Boca Juniors,3449,1722,903,822,6069,4347,1.76
Independiente,3406,1497,965,947,5456,3959,1.602
San Lorenzo,3391,1498,949,944,5443,3945,1.605
Vélez Sarsfield,3333,1366,945,1020,5043,3677,1.513
Racing Club,3295,1328,967,1001,4951,3623,1.503
Estudiantes (LP),3352,1293,937,1127,4816,3523,1.437
Newell's Old Boys,3074,1099,948,1025,4245,3146,1.381
Rosario Central,2941,1042,893,1000,4019,2977,1.367
Gimnasia y Esgrima (LP),3060,990,836,1132,3806,2816,1.244
Huracán,3055,975,835,1073,3760,2785,1.231
Argentinos Juniors,2658,827,810,1019,3291,2464,1.238
Lanús,2413,816,679,917,3127,2311,1.296
Ferro Carril Oeste,2366,725,745,896,2920,2195,1.234
Platense,2156,646,666,848,2604,1958,1.208
Banfield,1942,601,588,754,2391,1790,1.231
Chacarita Juniors,1931,613,506,812,2345,1732,1.214
Colón,1655,544,503,608,2135,1591,1.29
Unión (SF),1511,465,506,544,1901,1436,1.258
Atlanta,1592,484,408,700,1860,1376,1.168
Talleres (C),1240,436,375,426,1683,1247,1.357
Tigre,1299,373,313,616,1432,1059,1.102
Quilmes,1210,348,327,535,1371,1023,1.133
Belgrano (C),884,274,299,311,1121,847,1.268
Arsenal,680,220,205,255,865,645,1.272
Instituto,652,204,192,262,804,600,1.233
Godoy Cruz,597,200,169,229,769,569,1.288
Deportivo Español,560,166,193,201,691,525,1.234
Gimnasia y Esgrima (J),559,170,161,228,671,501,1.2
Atlético Tucumán,438,153,126,159,585,432,1.336
All Boys,518,124,158,236,530,406,1.023
Racing (C),413,134,126,153,528,394,1.278
Olimpo,423,121,120,182,483,362,1.142
Defensa y Justicia,308,124,88,96,460,336,1.494
Temperley,409,108,124,177,448,340,1.095
San Martín (T),355,93,100,162,379,286,1.068
Sarmiento (J),314,72,105,137,321,249,1.022
Deportivo Mandiyú,292,67,115,110,316,249,1.082
Nueva Chicago,300,72,95,133,311,239,1.037
Atlético de Rafaela,255,72,72,111,288,216,1.129
Aldosivi,263,76,56,130,284,208,1.08
San Martín (SJ),224,66,65,93,263,197,1.174
Lomas Athletic,189,76,34,79,262,186,1.386
Los Andes,229,66,60,103,258,192,1.127
Talleres (RdE),253,63,43,147,232,169,0.917
Central Córdoba (SdE),201,54,58,89,220,166,1.095
Patronato,187,53,59,75,218,165,1.166
Sportivo Palermo,101,59,21,21,198,139,1.96
Gimnasia y Esgrima (BA),143,53,36,54,195,142,1.364
San Martín (M),138,47,41,63,182,135,1.319
Independiente Rivadavia,145,41,50,54,173,132,1.193
Gimnasia y Esgrima (M),123,43,39,41,168,125,1.366
Chaco For Ever,163,34,43,86,145,111,0.89
Barracas Central,112,32,45,35,141,109,1.259
Almagro,144,32,44,68,140,108,0.972
San Lorenzo (MdP),154,31,29,94,122,91,0.792
Central Norte (S),96,22,24,50,90,68,0.938
Alvear (La Plata),103,19,28,56,85,66,0.825
Gimnasia y Tiro (S),104,17,30,57,81,64,0.779
Gimnasia y Tiro,104,17,30,57,81,64,0.779
Riestra,59,21,17,19,80,59,1.356
Flores Athletic,58,25,2,28,77,52,1.328
Deportivo Armenio,82,13,38,31,77,64,0.939
Kimberley (BA),70,21,11,38,74,53,1.057
Cipolletti,81,17,22,42,73,56,0.901
Desamparados,63,17,18,28,69,52,1.095
Sportivo Alsina,41,20,8,13,68,48,1.659
Central Córdoba (R),60,19,10,31,67,48,1.117
Altos Hornos Zapla,73,15,21,37,66,51,0.904
Deportivo Morón,59,17,14,28,65,48,1.102
Kimberley (MdP),77,14,21,42,63,49,0.818
Atlético Ledesma,64,15,18,31,63,48,0.984
Sportivo Acassuso,41,15,12,14,57,42,1.39
Loma Negra,28,15,9,4,54,39,1.929
Guaraní A. Franco,54,13,14,27,53,40,0.981
Guaraní Antonio Franco,54,13,14,27,53,40,0.981
Estudiantes (BA),54,11,19,24,52,41,0.963
Juventud Antoniana,79,11,18,50,51,40,0.646
Huracán (CR),50,12,11,27,47,35,0.94
Huracán Corrientes,52,9,19,24,46,37,0.885
Atlético Concepción,36,11,7,18,40,29,1.111
Deportivo Roca,30,10,8,12,38,28,1.267
Lanús-Talleres (RdE),39,8,11,20,35,27,0.897
San Telmo,50,8,11,31,35,27,0.7
Juventud Alianza,38,10,2,26,32,22,0.842
Juventud Alianza (SJ),38,10,2,26,32,22,0.842
Sportivo Italiano,38,6,11,21,29,23,0.763
Renato Cesarini,28,7,8,13,29,22,1.036
Jorge Newbery,34,5,12,17,27,22,0.794
Tiro Federal (R),38,6,6,26,24,18,0.632
Gutenberg (LP),22,7,3,12,24,17,1.091
Los Andes (SJ),14,6,4,4,22,16,1.571
Huracán (IW),29,4,6,19,18,14,0.621
Huracán (TA),38,2,11,25,17,15,0.447
Sportivo Guzmán,14,4,5,5,17,13,1.214
Estudiantes (RC),21,4,5,12,17,13,0.81
Sarmiento (R),14,4,4,6,16,12,1.143
Sportivo Patria,18,4,4,10,16,12,0.889
Atlético Regina,18,3,6,9,15,12,0.833
Huracán (SR),32,2,9,21,15,13,0.469
General Mitre,17,4,2,11,14,10,0.824
Crucero del Norte,30,3,5,22,14,11,0.467
Liberal Argentino,68,-1,17,52,14,15,0.206
Alianza Juventud-Pringles,14,3,5,6,14,11,1.0
Alvarado,14,3,4,7,13,10,0.929
Huracán Las Heras,9,3,4,2,13,10,1.444
Defensores de Belgrano,18,3,4,11,13,10,0.722
Unión San Vicente,28,1,9,18,12,11,0.429
Buenos Aires & Rosario Railway,16,3,3,10,12,9,0.75
Don Orione,14,4,0,10,12,8,0.857
Sportivo Floresta,38,2,5,31,11,9,0.289
Círculo Deportivo,22,2,5,15,11,9,0.5
Círculo Deportivo (CNO),22,2,5,15,11,9,0.5
Argentino (F),8,3,1,4,10,7,1.25
Argentino (Firmat),8,3,1,4,10,7,1.25
Retiro Athletic,28,2,3,3,9,7,0.321
Ramón Santamarina,9,2,2,5,8,6,0.889
Belgrano Extra,20,2,1,17,7,5,0.35
Nacional (Floresta),2,2,0,0,6,4,3.0
Puerto Comercial,18,2,0,16,6,4,0.333
Bartolomé Mitre,29,1,3,25,6,5,0.207
Estudiantes (SdE),16,1,2,13,5,4,0.312
Unión (GP),6,0,5,1,5,5,0.833
Argentino de Quilmes,34,0,4,30,4,4,0.118
Independiente (Trelew),13,0,3,10,3,3,0.231
Andino,6,1,0,5,3,2,0.5
Gimnasia y Esgrima (CdU),2,1,0,1,3,2,1.5
Ferro Carril Oeste (GP),6,0,2,4,2,2,0.333
Mariano Moreno,16,0,2,14,2,2,0.125
Atlético Uruguay,6,0,1,5,1,1,0.167
Alianza (CC),2,0,0,2,0,0,0.0
Almirante Brown,3,0,0,3,0,0,0.0
Atlético Santa Rosa,6,0,0,6,0,0,0.0
Concepción FC,2,0,0,2,0,0,0.0
Güemes (SdE),2,0,0,2,0,0,0.0
