anio,competicion,tipo,categoria,club,subcampeon,temporada
1931,Primera División (Primera División),liga,liga,Boca Juniors,San Lorenzo,1931 (LAF)
1932,Copa Beccar Varela,copa_nacional,copa_nacional,Racing Club,Boca Juniors,1932
1932,Copa de Competencia de la Liga Argentina,copa_nacional,copa_nacional,River Plate,Estudiantes (LP),1932
1932,Primera División (Primera División),liga,liga,River Plate,Independiente,1932 (LAF)
1933,Copa Beccar Varela,copa_nacional,copa_nacional,Central Córdoba (R),Racing Club,1933
1933,Copa de Competencia de la Liga Argentina,copa_nacional,copa_nacional,Racing Club,San Lorenzo,1933
1933,Primera División (Primera División),liga,liga,San Lorenzo,Boca Juniors,1933 (LAF)
1934,Primera División (Primera División),liga,liga,Boca Juniors,Independiente,1934 (LAF)
1935,Primera División (Primera División),liga,liga,Boca Juniors,Independiente,1935
1936,Primera División (Copa Campeonato),liga,liga,River Plate,San Lorenzo,1936
1936,Primera División (Copa de Honor),liga,liga,San Lorenzo,Huracán,1936
1936,Primera División (Copa de Oro),liga,liga,River Plate,San Lorenzo,1936
1936,Copa Aldao,rioplatense,rioplatense,River Plate,Peñarol,1936
1937,Copa Dr. Carlos Ibarguren,copa_nacional,copa_nacional,River Plate,Rosario Central,1937
1937,Primera División (Primera División),liga,liga,River Plate,Independiente,1937
1937,Copa Aldao,rioplatense,rioplatense,River Plate,Peñarol,1937
1938,Copa Dr. Carlos Ibarguren,copa_nacional,copa_nacional,Independiente,Rosario Central,1938
1938,Primera División (Primera División),liga,liga,Independiente,River Plate,1938
1938,Copa Aldao,rioplatense,rioplatense,Independiente,Peñarol,1938
1939,Copa Dr. Carlos Ibarguren,copa_nacional,copa_nacional,Independiente,Central Córdoba (R),1939
1939,Copa Escobar,copa_nacional,copa_nacional,Independiente,San Lorenzo,1939
1939,Primera División (Primera División),liga,liga,Independiente,River Plate y Huracán,1939
1939,Copa Aldao,rioplatense,rioplatense,Independiente,Nacional,1939
1940,Copa Dr. Carlos Ibarguren,copa_nacional,copa_nacional,Boca Juniors,Rosario Central,1940
1940,Primera División (Primera División),liga,liga,Boca Juniors,Independiente,1940
1941,Copa Dr. Carlos Ibarguren,copa_nacional,copa_nacional,River Plate,Newell's Old Boys,1941
1941,Copa Escobar,copa_nacional,copa_nacional,River Plate,Huracán,1941
